key,menu,T,T_signal_delay,qty,price,unit_holding_cost,unit_fee
A000,102,-2,,0,32.51,0.1,
A000,102,-1,,0,32.51,0.1,
A001,101,-1,,1,29.29,0.1,
A001,101,0,,0,29.29,0.1,
A002,102,-2,,1,32.14,0.1,
A002,102,-1,,1,32.14,0.1,
A003,101,-1,,2,10.54,0.1,
A003,101,0,,1,10.54,0.1,
A004,102,-2,,0,20.21,0.1,
A004,102,-1,,2,20.21,0.1,
A005,101,-1,,2,24.33,0.1,
A005,101,0,,2,24.33,0.1,
A006,102,-2,,1,21.83,0.1,
A006,102,-1,,1,21.83,0.1,
A007,101,-1,,1,19.27,0.1,
A007,101,0,,2,19.27,0.1,
A008,102,-2,,0,28.05,0.1,
A008,102,-1,,1,28.05,0.1,
A009,101,-1,,0,27.75,0.1,
A009,101,0,,0,27.75,0.1,
A010,102,-2,,1,38.91,0.1,
A010,102,-1,,0,38.91,0.1,
A011,101,-1,,1,21.19,0.1,
A011,101,0,,1,21.19,0.1,
